ID;IDMARCA;NOME
2891;22;HOGGAR ESCAPADE
2901;13;PHAETON
2913;2;TRANSPORTER
2914;16;GRAND BESTA
2922;19;300C TOURING
2928;13;TORINO
2931;1;VENTURE
2932;1;FLEETLINE
2933;1;FLEETMASTER
2934;1;DELUXE
2936;13;ESCORT XR3
2937;1;MASTER
2938;120;TORONADO
2941;120;DELUXE
2942;120;SERIES 60
2943;120;SERIES 70
2944;120;SERIES 80
2945;120;SERIES 90
2946;120;STARFIRE
2948;120;CUTLASS
2949;120;CUTLASS SUPREME
2950;120;CUTLASS SALON
2951;120;CUTLASS CALAIS
2952;120;CUTLASS CIERA
2953;120;CUSTOM CRUISER
2954;120;VISTA CRUISER
2957;120;FIRENZA
2958;120;ACHIEVA
2960;120;AURORA
2961;120;BRAVADA
2962;120;INTRIGUE
2963;120;SILHOUETTE
2972;123;SUPERBIRD
2974;123;SPECIAL
2975;123;PROWLER
2976;123;TRAIL DUSTER
2977;123;VOYAGER
2985;123;EXPRESS
2986;123;VOYAGER EXPRESSO
2989;123;CARAVELLE
2990;123;STATION WAGON
2991;123;MODEL Q
2992;123;MODEL P6
2993;31;DB9 COUPE
2994;31;DB9 VOLANTE
2995;31;VIRAGE COUPE
2996;31;RAPIDE S
2997;31;V12 VANTAGE
2998;31;V8 VANTAGE COUPE
2999;31;V8 VANTAGE ROADSTER
3000;31;V8 VANTAGE S COUPE
3001;31;V8 VANTAGE S ROADSTER
3002;31;VANQUISH COUPE
3003;31;VANQUISH VOLANTE
3004;31;V12 ZAGATO
3008;31;DBS VOLANTE
3009;31;CYGNET
3010;31;ONE-77
3017;113;CABRIO
3019;113;ROADSTER
3020;113;COUNTRYMAN
3021;113;PACEMAN
3022;113;JOHN COOPER WORKS
3024;8;NEW XV
3025;8;IMPREZA WRX HATCH
3026;8;IMPREZA WRX STI HATCH
3027;8;IMPREZA WRX STI SEDAN
3028;8;IMPREZA WRX SEDAN
3030;23;ETIOS CROSS
3031;12;HURACAN
3080;195;EXPLORER
4964;142;FORTWO CABRIO
4974;26;AC 2000
4975;99;AVIATOR
4976;99;BLACKWOOD
4978;99;CONTINENTAL
4981;99;MARK LT
4986;99;NAVIGATOR
4987;99;PREMIERE
4988;99;TOWN CAR
4989;99;VERSAILLES
4990;99;ZEPHYR
4991;1;CLASSIC
4992;21;ACTYON
5003;1;MARAJO
5004;1;SUPREMA
5005;2;NEW BEETLE
5006;2;QUANTUM
5007;2;CROSSFOX
5014;87;RENEGADE
5015;24;DUSTER OROCH
5016;24;SANDERO RS
5018;14;GRAND SANTA FE
5019;2;GOLF VARIANT
5020;2;SPACE CROSS
5022;16;QUORIS
5023;16;GRAND CARNIVAL
5027;13;KA SEDAN
5028;13;FOCUS FASTBACK
